SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 06, 2021	January 05, 2021	January 04, 2021	December 23, 2020	December 22, 2020
U.S. dollar		1.447960	1.448780	1.440270	1.442010
Algerian dinar		191.566000		190.649000	191.014000
Australian dollar		1.880220	1.880810	1.907130	1.908170
Botswana pula		15.636700	15.628700	15.587300	15.589300
Brazilian real		7.712240	7.478650	7.451070	7.421590
Brunei dollar		1.909570	1.908630	1.923050	1.925080
Canadian dollar		1.839920	1.847340	1.851610	1.861340
Chilean peso		1,017.810000	1,030.010000	1,049.900000	1,053.680000
Colombian peso		4,953.140000	4,972.950000	4,961.570000	4,963.990000
Czech koruna		30.941400	30.799700	31.226500	30.987300
Danish krone		8.777550	8.763700	8.805530	8.766010
Indian rupee		105.858000	105.778000	106.311000	106.547000
Israeli New Shekel		4.637810	4.644810	4.640540	4.663460
Korean won		1,568.280000	1,576.280000	1,593.800000	1,587.940000
Kuwaiti dinar		0.439093	0.439344	0.437266	0.437794
Malaysian ringgit					
Mauritian rupee		57.229800	57.222600	57.023900	57.072400
Mexican peso		28.877600	28.752200	28.974600	28.921200
New Zealand dollar		2.018340		2.048160	2.035300
Norwegian krone		12.356000	12.305700	12.577000	12.481700
Omani rial		0.556740	0.557057	0.553783	0.554453
Peruvian sol		5.251740	5.250390		
Philippine peso		69.533800	69.572000	69.264100	
Polish zloty		5.361930	5.360210	5.317340	5.324050
Qatari riyal		5.270560	5.273570	5.242570	5.248900
Russian ruble				108.679000	108.655000
Saudi Arabian riyal		5.429850	5.432950		5.407540
Singapore dollar		1.909570	1.908630	1.923050	1.925080
South African rand		21.687300	21.105100	21.022900	21.035400
Swedish krona		11.894100	11.862800	11.961400	11.931900
Swiss franc		1.273620	1.274710	1.281620	1.276390
Thai baht		43.299800	43.320000	43.507600	43.483700
Trinidadian dollar		9.792690	9.793940	9.696880	9.730090
U.A.E. dirham		5.317620	5.320650	5.289380	5.295770
Uruguayan peso		61.294800	61.080600	60.945100	60.919100


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
